"caso_id","intervencion_fecha_hora","victima_embarazo","victima_edad","victima_genero","victima_nacionalidad","victima_discapacidad","violencia_tipo","agresor_relacion_victima"
"418264","2019-08-25 00:45:00","NO","28","Masculino","Argentina","NO","Física","Otro no conviviente"
"418264","2019-08-25 00:45:00","NO","40","Femenino","Argentina","NO","Psicológica","Ex espos@/pareja"
"418275","2019-08-25 20:00:00","NO","19","Femenino","Argentina","NS/NC","Física","Ex espos@/pareja"
"418281","2019-08-26 02:15:00","NO","41","Femenino","Otra","NS/NC","Física","Espos@/compañer@ actual"
"418316","2019-08-27 12:00:00","NO","0","Masculino","Argentina","NO","Física","Padre"
"418324","2019-08-27 18:15:00","NO","14","Masculino","Argentina","NO","Económica y Física","Padre"
"418324","2019-08-27 23:35:00","NO","14","Masculino","Argentina","NS/NC","Económica y Física","Padre"
"418324","2019-08-27 23:35:00","NO","14","Masculino","Argentina","NS/NC","Otras","Padre"
"418316","2019-08-27 12:00:00","NO","3","Masculino","Argentina","NO","Psicológica","Padre"
"418316","2019-08-27 12:00:00","NO","7","Femenino","Argentina","NS/NC","Física","Padre"
"418324","2019-08-27 23:35:00","NO","39","Femenino","Argentina","NS/NC","Física y Sexual","Ex espos@/pareja"
"418324","2019-08-27 23:35:00","NO","10","Femenino","Argentina","NS/NC","Económica y Física","Padre"
"418324","2019-08-27 23:35:00","NS/NC","39","Femenino","Argentina","NS/NC","Psicológica","Espos@/compañer@ actual"
"418324","2019-08-27 18:15:00","NO","39","Femenino","Argentina","NO","Física y Sexual","Ex espos@/pareja"
"418324","2019-08-27 18:15:00","NO","10","Femenino","Argentina","NO","Económica y Física","Padre"
"418316","2019-08-27 12:00:00","NO","31","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418324","2019-08-28 09:00:00","NO","14","Masculino","Argentina","NO","Económica y Física","Padre"
"418346","2019-08-28 21:00:00","NO","4","Masculino","Argentina","NS/NC","Psicológica","Pareja de la madre/padre"
"418346","2019-08-28 21:00:00","NO","7","Femenino","Argentina","NS/NC","Psicológica","Pareja de la madre/padre"
"418324","2019-08-28 09:00:00","NO","10","Femenino","Argentina","NO","Económica y Física","Padre"
"418324","2019-08-28 09:00:00","NO","39","Femenino","Argentina","NS/NC","Física y Sexual","Ex espos@/pareja"
"418346","2019-08-28 21:00:00","NO","25","Femenino","Argentina","NO","Psicológica","Espos@/compañer@ actual"
"418324","2019-08-29 08:00:00","NO","14","Masculino","Argentina","NO","Psicológica","Padre"
"418324","2019-08-29 08:00:00","NO","39","Femenino","Argentina","NS/NC","Sexual y Económica","Ex espos@/pareja"
"418324","2019-08-29 08:00:00","NO","10","Femenino","Argentina","NO","Psicológica","Padre"
"418379","2019-08-30 20:30:00","NS/NC","1","Masculino","Argentina","NS/NC","Psicológica","Padre"
"418379","2019-08-30 20:30:00","NS/NC","27","Masculino","Boliviana","NO","Psicológica","Espos@/compañer@ actual"
"418379","2019-08-30 13:00:00","NS/NC","1","Masculino","Argentina","NO","Psicológica","Padre"
"418379","2019-08-30 13:00:00","NS/NC","27","Masculino","Boliviana","NO","Psicológica","Espos@/compañer@ actual"
"418379","2019-08-30 13:00:00","NS/NC","6","Femenino","Argentina","NO","Psicológica","Padre"
"418379","2019-08-30 20:30:00","NS/NC","6","Masculino","Argentina","NS/NC","Psicológica","Padre"
"346519","2019-09-02 21:00:00","NO","36","Femenino","Argentina","NS/NC","Física y Sexual","Ex espos@/pareja"
"418457","2019-09-03 22:10:00","NO","12","Masculino","Argentina","NO","Psicológica","Pareja de la madre/padre"
"418457","2019-09-03 17:30:00","NO","12","Masculino","Argentina","NO","Psicológica","Pareja de la madre/padre"
"418457","2019-09-03 17:30:00","NO","8","Femenino","Argentina","NO","Psicológica","Pareja de la madre/padre"
"418457","2019-09-03 17:30:00","NO","1","Femenino","Argentina","NS/NC","Psicológica","Pareja de la madre/padre"
"418457","2019-09-03 22:10:00","NO","8","Femenino","Argentina","NO","Psicológica","Pareja de la madre/padre"
"418457","2019-09-03 22:10:00","NO","1","Femenino","Argentina","NS/NC","Física","Pareja de la madre/padre"
"418457","2019-09-03 17:30:00","NO","14","Femenino","Argentina","NO","Psicológica","Pareja de la madre/padre"
"418457","2019-09-03 22:10:00","NO","14","Femenino","Argentina","NO","Psicológica","Pareja de la madre/padre"
"418457","2019-09-03 17:30:00","SI","31","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"418457","2019-09-03 22:10:00","SI","31","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"418500","2019-09-05 11:30:00","NO","25","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418534","2019-09-06 11:30:00","NS/NC","16","Masculino","Argentina","NS/NC","Psicológica","Espos@/compañer@ actual"
"418540","2019-09-06 16:30:00","NO","17","Masculino","Argentina","NO","Psicológica","Padre"
"418540","2019-09-06 16:30:00","NO","8","Masculino","Argentina","NO","Psicológica","Padre"
"418534","2019-09-06 11:30:00","NO","20","Masculino","Argentina","NS/NC","Psicológica","Padre"
"418540","2019-09-06 16:30:00","NO","41","Masculino","Argentina","NS/NC","Económica y Física","Ex espos@/pareja"
"418534","2019-09-06 11:30:00","NO","50","Femenino","Argentina","NS/NC","Psicológica","Espos@/compañer@ actual"
"418569","2019-09-07 20:00:00","NO","10","Masculino","Otra","NO","Física","Pareja de la madre/padre"
"418569","2019-09-07 20:00:00","NS/NC","42","Femenino","Otra","NO","Física","Espos@/compañer@ actual"
"418573","2019-09-08 16:00:00","NO","3","Masculino","Argentina","NO","Física","Padre"
"418573","2019-09-08 16:00:00","NO","9","Masculino","Argentina","NO","Física","Pareja de la madre/padre"
"418573","2019-09-08 16:00:00","NS/NC","34","Femenino","Paraguaya","NO","Psicológica","Espos@/compañer@ actual"
"418573","2019-09-09 09:00:00","NO","3","Masculino","Argentina","NO","Psicológica","Padre"
"418573","2019-09-09 09:00:00","NO","11","Masculino","NS/NC","NS/NC","Psicológica","Pareja de la madre/padre"
"418573","2019-09-09 09:00:00","NO","9","Masculino","NS/NC","NO","Física","Pareja de la madre/padre"
"418610","2019-09-09 14:30:00","NO","39","Masculino","Argentina","NO","Física","Ex espos@/pareja"
"418573","2019-09-09 09:00:00","NO","1","Femenino","Argentina","NO","Psicológica","Padre"
"418573","2019-09-09 09:00:00","NS/NC","34","Femenino","Paraguaya","NO","Psicológica","Espos@/compañer@ actual"
"418627","2019-09-10 15:30:00","NO","83","Femenino","Argentina","SI","Económica","Otro conviviente"
"204806","2019-09-11 05:00:00","NO","1","Masculino","Argentina","NO","Psicológica","Padre"
"204806","2019-09-11 05:00:00","NO","11","Masculino","NS/NC","NO","Física","Pareja de la madre/padre"
"418667","2019-09-11 23:00:00","NO","10","Femenino","Argentina","NO","Sexual","Padre"
"204806","2019-09-11 05:00:00","NO","43","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418653","2019-09-11 15:00:00","NO","51","Femenino","Paraguaya","NO","Física","Espos@/compañer@ actual"
"418712","2019-09-12 16:00:00","NO","1","Femenino","Argentina","NS/NC","Psicológica","Padre"
"418712","2019-09-12 16:00:00","NO","6","Femenino","Argentina","NO","Psicológica","Padre"
"418712","2019-09-12 16:00:00","NO","26","Femenino","Paraguaya","NO","Sexual y Económica","Espos@/compañer@ actual"
"418758","2019-09-14 20:30:00","NO","13","Masculino","Argentina","NO","Física","Padre"
"418758","2019-09-14 20:30:00","NO","12","Masculino","Argentina","NO","Física","Padre"
"418758","2019-09-14 20:30:00","NO","37","Femenino","Paraguaya","NO","Física","Ex espos@/pareja"
"418758","2019-09-14 20:30:00","NO","5","Femenino","Argentina","NO","Física","Padre"
"418758","2019-09-14 20:30:00","NO","2","Femenino","Argentina","NO","Física","Padre"
"360233","2019-09-15 08:30:00","NO","3","Masculino","Boliviana","NS/NC","Psicológica","Padre"
"418784","2019-09-15 20:30:00","NO","12","Femenino","Boliviana","NS/NC","Psicológica","Padre"
"418784","2019-09-15 20:30:00","NO","2","Femenino","Argentina","NO","Psicológica","Padre"
"418759","2019-09-15 23:40:00","NO","36","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"360233","2019-09-15 08:30:00","NO","47","Femenino","Boliviana","NS/NC","Física","Espos@/compañer@ actual"
"418784","2019-09-15 20:30:00","NO","32","Femenino","Boliviana","NO","Física y Sexual","Espos@/compañer@ actual"
"418776","2019-09-16 09:30:00","NO","0","Femenino","Argentina","NO","Psicológica","Padre"
"418776","2019-09-16 09:30:00","NO","21","Femenino","Argentina","NO","Económica y Física","Espos@/compañer@ actual"
"418831","2019-09-17 15:00:00","NO","1","Masculino","Argentina","NS/NC","Psicológica","Padre"
"418822","2019-09-17 10:00:00","NO","5","Masculino","Argentina","NS/NC","Psicológica","Padre"
"418831","2019-09-17 15:00:00","NO","21","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"418822","2019-09-17 10:00:00","NS/NC","28","Femenino","Boliviana","NS/NC","Sexual y Económica","Espos@/compañer@ actual"
"418834","2019-09-18 20:30:00","NO","40","Femenino","Paraguaya","NS/NC","Económica y Física","Espos@/compañer@ actual"
"418882","2019-09-20 14:30:00","NO","0","Masculino","Argentina","NO","Psicológica","Padre"
"418889","2019-09-20 21:30:00","NO","28","Femenino","Argentina","NS/NC","Física","Ex espos@/pareja"
"418880","2019-09-20 10:00:00","NO","1","Femenino","Argentina","NO","Psicológica","Padre"
